Days,Open,High,Low,Close
17009,	582.63,	584.54,	582.1,	582.49
17008,	581.47,	582.63,	579.58,	582.63
17007,	582.34,	582.34,	579.91,	581.47
17006,	581.72,	582.34,	578.48,	582.34
17005,	584.41,	585.05,	580.54,	581.72
17004,	585.87,	587.61,	584,	584.41
17003,	581.04,	585.88,	580.69,	585.87
17002,	581.41,	581.42,	574.68,	581.04
17001,	581.81,	584.66,	580.65,	581.41
17000,	581.73,	582.14,	579.5,	581.81
16999,	583,	583,	578.25,	581.73
16998,	586.77,	586.79,	580.91,	583
16997,	584.2,	586.77,	584.18,	586.77
16996,	582.78,	584.24,	580.75,	584.2
16995,	583.35,	583.37,	579.36,	582.77
16994,	583.61,	585.07,	581.79,	583.35
16993,	578.77,	583.99,	578.77,	583.61
16992,	576.51,	579.72,	575.47,	578.77
16991,	573.91,	576.51,	573.11,	576.51
16990,	572.68,	575.15,	572.68,	573.91
16989,	570.29,	572.68,	569.27,	572.68
16988,	570.17,	571.11,	569.23,	570.29
16987,	569.17,	570.53,	569,	570.17
16986,	563.86,	569.2,	563.84,	569.17
16985,	561.88,	564.62,	561.01,	563.84
16984,	561.09,	562.36,	560.49,	561.88
16983,	560,	561.52,	559.49,	560.92
16982,	559.05,	560.01,	555.71,	560
16981,	560.1,	562.22,	557.99,	559.05
16980,	557.46,	561.31,	557.46,	560.1
16979,	557.14,	558.63,	555.2,	557.46
16978,	559.52,	560,	557.08,	557.14
16977,	558.11,	559.52,	555.87,	559.52
16976,	559.21,	563.34,	557.89,	558.11
16975,	559.04,	561.24,	558.34,	559.21
16974,	559.97,	559.97,	557.42,	559.04
16973,	558.57,	559.98,	557.37,	559.97
16972,	559.74,	559.98,	555.22,	558.57
16971,	555.11,	559.74,	554.76,	559.74
16970,	557.45,	558.5,	553.04,	555.11
16969,	559.71,	560.63,	556.05,	557.45
16968,	560.39,	561.59,	559.29,	559.71
16967,	560.03,	561.53,	558.32,	560.39
16966,	558.94,	561.24,	558.94,	560.03
16965,	558.75,	559.57,	557.91,	558.94
16964,	558.8,	558.8,	554.1,	558.75
16963,	559.64,	565.62,	557.87,	558.8
16962,	562.06,	562.11,	556.67,	559.64
16961,	562.93,	563.49,	560.06,	562.06
16960,	565.22,	565.4,	562.04,	562.93
16959,	561.61,	565.33,	561.61,	565.22
16958,	561.1,	563.78,	560.85,	561.61
16957,	556.63,	561.75,	556.34,	561.1
16956,	553.62,	557.21,	553.62,	556.63
16955,	553.34,	554.73,	550.91,	553.62
16954,	550.98,	554.43,	549.1,	553.54
16953,	556.58,	558.46,	542.51,	550.98
16952,	562.55,	562.72,	556.86,	558.46
16951,	560.34,	562.94,	559.45,	562.72
16950,	561,	561,	556.41,	559.89
